Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2016-11-18,751.585022,2181.899902,110.150742,0.014316,-0.002387,-0.003737
2016-11-21,739.247986,2198.179932,111.296196,-0.016415,0.007461,0.010399
2016-11-22,751.346985,2202.939941,111.634209,0.016367,0.002165,0.003037
2016-11-23,744.593994,2204.719971,111.183540,-0.008988,0.000808,-0.004037
2016-11-25,741.648987,2213.350098,111.540306,-0.003955,0.003914,0.003209
2016-11-28,735.812988,2201.719971,111.286781,-0.007869,-0.005255,-0.002273
2016-11-29,735.604004,2204.659912,111.671768,-0.000284,0.001335,0.003459
2016-11-30,745.690979,2198.810059,110.319733,0.013713,-0.002653,-0.012107
2016-12-01,756.773987,2191.080078,108.413780,0.014863,-0.003516,-0.017277
2016-12-02,777.943970,2191.949951,108.629776,0.027974,0.000397,0.001992
2016-12-05,758.700012,2204.709961,109.474716,-0.024737,0.005821,0.007778
2016-12-06,764.223999,2212.229980,109.737633,0.007281,0.003411,0.002402
2016-12-07,768.132019,2241.350098,111.127190,0.005114,0.013163,0.012663
2016-12-08,770.809998,2246.189941,111.324356,0.003486,0.002159,0.001774
2016-12-09,772.794006,2259.530029,112.197540,0.002574,0.005939,0.007844
2016-12-12,780.086975,2256.959961,111.690529,0.009437,-0.001137,-0.004519
2016-12-13,780.556030,2271.719971,113.098885,0.000601,0.006540,0.012609
2016-12-14,781.481018,2253.280029,112.864136,0.001185,-0.008117,-0.002076
2016-12-15,778.088013,2262.030029,113.042534,-0.004342,0.003883,0.001581
2016-12-16,784.906982,2258.070068,112.623505,0.008764,-0.001751,-0.003707
2016-12-19,792.713989,2262.530029,113.084915,0.009946,0.001975,0.004097
2016-12-20,800.875977,2270.760010,113.518082,0.010296,0.003638,0.003830
2016-12-21,834.281006,2265.179932,113.433327,0.041711,-0.002457,-0.000747
2016-12-22,864.539978,2260.959961,113.113182,0.036270,-0.001863,-0.002822
2016-12-23,921.984009,2263.790039,113.188492,0.066445,0.001252,0.000666
2016-12-27,933.197998,2268.879883,113.772331,0.012163,0.002248,0.005158
2016-12-28,975.921021,2249.919922,112.887177,0.045781,-0.008357,-0.007780
2016-12-29,973.497009,2249.260010,112.727089,-0.002484,-0.000293,-0.001418
