Date,price_btc,price_spx,price_tech,price_gold,ret_btc,ret_spx,ret_tech,ret_gold
,BTC-USD,^GSPC,QQQ,GC=F,,,,
2016-11-25,741.648987,2213.350098,111.540321,1178.199951,-0.003955,0.003914,0.003209,-0.009167
2016-11-28,735.812988,2201.719971,111.286797,1190.599976,-0.007869,-0.005255,-0.002273,0.010525
2016-11-29,735.604004,2204.659912,111.671753,1187.900024,-0.000284,0.001335,0.003459,-0.002268
2016-11-30,745.690979,2198.810059,110.319748,1170.800049,0.013713,-0.002653,-0.012107,-0.014395
2016-12-01,756.773987,2191.080078,108.413788,1166.900024,0.014863,-0.003516,-0.017277,-0.003331
2016-12-02,777.943970,2191.949951,108.629753,1175.099976,0.027974,0.000397,0.001992,0.007027
2016-12-05,758.700012,2204.709961,109.474747,1174.000000,-0.024737,0.005821,0.007779,-0.000936
2016-12-06,764.223999,2212.229980,109.737640,1167.599976,0.007281,0.003411,0.002401,-0.005451
2016-12-07,768.132019,2241.350098,111.127213,1175.000000,0.005114,0.013163,0.012663,0.006338
2016-12-08,770.809998,2246.189941,111.324348,1169.800049,0.003486,0.002159,0.001774,-0.004425
2016-12-09,772.794006,2259.530029,112.197510,1159.400024,0.002574,0.005939,0.007843,-0.008890
2016-12-12,780.086975,2256.959961,111.690529,1163.500000,0.009437,-0.001137,-0.004519,0.003536
2016-12-13,780.556030,2271.719971,113.098862,1156.699951,0.000601,0.006540,0.012609,-0.005844
2016-12-14,781.481018,2253.280029,112.864159,1161.300049,0.001185,-0.008117,-0.002075,0.003977
2016-12-15,778.088013,2262.030029,113.042534,1127.800049,-0.004342,0.003883,0.001580,-0.028847
2016-12-16,784.906982,2258.070068,112.623489,1135.300049,0.008764,-0.001751,-0.003707,0.006650
2016-12-19,792.713989,2262.530029,113.084908,1140.500000,0.009946,0.001975,0.004097,0.004580
2016-12-20,800.875977,2270.760010,113.518082,1131.500000,0.010296,0.003638,0.003831,-0.007891
2016-12-21,834.281006,2265.179932,113.433327,1131.099976,0.041711,-0.002457,-0.000747,-0.000354
2016-12-22,864.539978,2260.959961,113.113159,1128.800049,0.036270,-0.001863,-0.002823,-0.002033
2016-12-23,921.984009,2263.790039,113.188469,1131.900024,0.066445,0.001252,0.000666,0.002746
2016-12-27,933.197998,2268.879883,113.772331,1137.300049,0.012163,0.002248,0.005158,0.004771
2016-12-28,975.921021,2249.919922,112.887161,1139.400024,0.045781,-0.008357,-0.007780,0.001846
2016-12-29,973.497009,2249.260010,112.727089,1156.400024,-0.002484,-0.000293,-0.001418,0.014920
2016-12-30,961.237976,2238.830078,111.568825,1150.000000,-0.012593,-0.004637,-0.010275,-0.005534
2017-01-03,1043.839966,2257.830078,112.567032,1160.400024,0.085933,0.008487,0.008947,0.009043
2017-01-04,1154.729980,2270.750000,113.179077,1163.800049,0.106233,0.005722,0.005437,0.002930
2017-01-05,1013.380005,2269.000000,113.819427,1179.699951,-0.122410,-0.000771,0.005658,0.013662
2017-01-06,902.200989,2276.979980,114.817566,1171.900024,-0.109711,0.003517,0.008769,-0.006612
2017-01-09,902.828003,2268.899902,115.194260,1183.500000,0.000695,-0.003549,0.003281,0.009898
2017-01-10,907.679016,2268.899902,115.448517,1184.199951,0.005373,0.000000,0.002207,0.000591
2017-01-11,777.757019,2275.320068,115.759247,1195.599976,-0.143136,0.002830,0.002692,0.009627
2017-01-12,804.833984,2270.439941,115.580345,1198.900024,0.034814,-0.002145,-0.001545,0.002760
2017-01-13,823.984009,2274.639893,115.975853,1195.300049,0.023794,0.001850,0.003422,-0.003003
2017-01-17,907.937988,2267.889893,115.627411,1212.000000,0.101888,-0.002968,-0.003004,0.013971
2017-01-18,886.617981,2271.889893,115.862854,1211.300049,-0.023482,0.001764,0.002036,-0.000578
2017-01-19,899.072998,2263.689941,115.806343,1200.900024,0.014048,-0.003609,-0.000488,-0.008586
2017-01-20,895.026001,2271.310059,116.060577,1204.300049,-0.004501,0.003366,0.002195,0.002831
2017-01-23,921.012024,2265.199951,116.154755,1215.000000,0.029034,-0.002690,0.000811,0.008885
2017-01-24,892.687012,2280.070068,116.936348,1210.300049,-0.030754,0.006565,0.006729,-0.003868
2017-01-25,901.541992,2298.370117,118.113449,1197.300049,0.009919,0.008026,0.010066,-0.010741
2017-01-26,917.585999,2296.679932,118.235832,1189.500000,0.017796,-0.000735,0.001036,-0.006515
2017-01-27,919.750000,2294.689941,118.461861,1188.099976,0.002358,-0.000866,0.001912,-0.001177
